	headline	url	date
0	"
Ψηφίζεται στη Βουλή η νέα ενίσχυση Fuel Pass - «Μεγαλύτερη και σε περισσότερους η επιδότηση», λέει ο Σταϊκούρας
"	https://www.protothema.gr/economy/article/1259997/fuel-pass-staikouras-megaluteri-kai-se-perissoterous-i-enishusi-tropologia-sti-vouli/	2022-06-30T14:56:00+03:00
1	"
«Αφαίμαξη 3,8 δισ. των πολιτών και εμπαιγμό από την κυβέρνηση» καταγγέλλει η Αχτσιόγλου
"	https://www.protothema.gr/politics/article/1259210/ahtsioglou-afaimaxi-38-dis-ton-politon-kai-ebaigmos-apo-tin-kuvernisi/	2022-06-28T16:44:36+03:00
2	"
Ζητούν παράταση ζωής για βενζίνης - diesel ΙΧ - Η Ελλάδα επιμένει στην... βόμβα
"	https://www.newsauto.gr/news/pente-chores-plin-elladas-zitoun-paratasi-gia-tous-simvatikous-kinitires/	2022-06-28T14:47:40+03:00
3	"
Το ρεύμα για τα φτωχά νοικοκυριά στη Σρι Λάνκα θα ακριβύνει κατά… 835%
"	https://www.protothema.gr/world/article/1258930/sri-lanka-to-reuma-gia-ta-ftoha-noikokuria-tha-akrivunei-kata-835/	2022-06-27T21:59:00+03:00
4	"
Συνεδριάζει το Πολιτικό Συμβούλιο του ΠΑΣΟΚ - ΚΙΝΑΛ - Η  παρέμβαση Ανδρουλάκη
"	https://www.protothema.gr/politics/article/1258714/sunedriazei-to-politiko-sumvoulio-tou-pasok-kinal-i-paremvasi-androulaki/	2022-06-27T13:17:00+03:00
5	"
Θα κρυώσει και θα πεινάσει τον χειμώνα η Ευρώπη;
"	https://www.protothema.gr/world/article/1258565/tha-kruosei-kai-tha-peinasei-ton-heimona-i-europi/	2022-06-27T07:26:00+03:00
6	"
Απίστευτο: Στις ΗΠΑ βάζουν «κουδούνι εξώπορτας» δίπλα στα ντεπόζιτα αυτοκινήτων για να μην τους κλέψουν τη βενζίνη (vid)
"	https://www.gazzetta.gr/plus/2129076/apisteyto-stis-ipa-bazoyn-koydoyni-exoportas-dipla-sta-ntepozita-aytokiniton-gia-na	2022-06-26T20:31:00+03:00
7	"
Ανοδικά κινείται η κατανάλωση καυσίμων παρά την αύξηση των τιμών
"	https://www.protothema.gr/greece/article/1258367/kausima-anodika-kineitai-i-katanalosi-para-tin-auxisi-ton-timon/	2022-06-26T09:10:02+03:00
8	"
Θα σώσουν τα βενζίνης και diesel;
"	https://www.newsauto.gr/news/i-germania-tha-sosi-tous-venzinis-ke-diesel-kinitires/	2022-06-24T11:58:30+03:00
9	"
Οδική βοήθεια: Πιο πολύτιμη από ποτέ!
"	https://www.newmoney.gr/roh/palmos-oikonomias/epixeiriseis/odiki-voithia-pio-politimi-apo-pote/	2022-06-23T14:19:36+03:00
